date_time,holiday,weather_main,weather_description,rain_1h,snow_1h,clouds_all,temp,traffic_volume
2016-07-01 00:00:00,None,Clear,sky is clear,0.0,0.0,1,289.04,825
2016-07-01 01:00:00,None,Clear,sky is clear,0.0,0.0,1,288.16,531
2016-07-01 02:00:00,None,Clear,sky is clear,0.0,0.0,1,286.64,381
2016-07-01 03:00:00,None,Clear,sky is clear,0.0,0.0,1,285.39,406
2016-07-01 04:00:00,None,Clear,sky is clear,0.0,0.0,1,284.67,790
2016-07-01 05:00:00,None,Clouds,few clouds,0.0,0.0,20,283.97,2532
2016-07-01 06:00:00,None,Clouds,few clouds,0.0,0.0,20,283.24,4826
2016-07-01 07:00:00,None,Clouds,few clouds,0.0,0.0,20,284.59,5217
2016-07-01 08:00:00,None,Clouds,few clouds,0.0,0.0,20,286.51,4281
2016-07-01 09:00:00,None,Clouds,scattered clouds,0.0,0.0,40,288.14,4560
2016-07-01 10:00:00,None,Clouds,scattered clouds,0.0,0.0,40,289.45,4412
2016-07-01 11:00:00,None,Clouds,few clouds,0.0,0.0,20,290.87,4682
2016-07-01 12:00:00,None,Clouds,few clouds,0.0,0.0,20,292.02,5018
2016-07-01 13:00:00,None,Clear,sky is clear,0.0,0.0,1,293.3,4938
2016-07-01 14:00:00,None,Clouds,scattered clouds,0.0,0.0,40,294.37,4974
2016-07-01 15:00:00,None,Clouds,scattered clouds,0.0,0.0,40,295.13,5015
2016-07-01 16:00:00,None,Clouds,scattered clouds,0.0,0.0,40,295.44,5017
2016-07-01 17:00:00,None,Clouds,scattered clouds,0.0,0.0,40,295.71,4307
2016-07-01 18:00:00,None,Clouds,scattered clouds,0.0,0.0,40,295.65,3808
2016-07-01 19:00:00,None,Clouds,broken clouds,0.0,0.0,75,295.31,3102
2016-07-01 20:00:00,None,Clouds,broken clouds,0.0,0.0,75,293.99,2822
2016-07-01 21:00:00,None,Clouds,broken clouds,0.0,0.0,75,292.24,2627
2016-07-01 22:00:00,None,Clouds,scattered clouds,0.0,0.0,40,289.69,2498
2016-07-01 23:00:00,None,Clouds,scattered clouds,0.0,0.0,40,288.53,1987
2016-07-02 00:00:00,None,Clouds,broken clouds,0.0,0.0,75,287.75,1234
2016-07-02 01:00:00,None,Clouds,broken clouds,0.0,0.0,75,287.13,940
2016-07-02 02:00:00,None,Clouds,broken clouds,0.0,0.0,75,286.4,664
2016-07-02 03:00:00,None,Clear,sky is clear,0.0,0.0,1,285.64,373
2016-07-02 04:00:00,None,Clear,sky is clear,0.0,0.0,1,285.21,425
2016-07-02 05:00:00,None,Clouds,broken clouds,0.0,0.0,75,285.66,679
2016-07-02 06:00:00,None,Clouds,broken clouds,0.0,0.0,75,285.83,1253
2016-07-02 07:00:00,None,Clouds,broken clouds,0.0,0.0,75,287.34,1679
2016-07-02 08:00:00,None,Clouds,broken clouds,0.0,0.0,75,289.67,2178
2016-07-02 09:00:00,None,Clouds,few clouds,0.0,0.0,20,292.72,2952
2016-07-02 10:00:00,None,Clouds,few clouds,0.0,0.0,20,294.67,3429
2016-07-02 11:00:00,None,Clouds,scattered clouds,0.0,0.0,40,295.89,3892
2016-07-02 12:00:00,None,Clouds,scattered clouds,0.0,0.0,40,296.6,3862
2016-07-02 13:00:00,None,Clouds,broken clouds,0.0,0.0,75,297.29,3550
2016-07-02 14:00:00,None,Clouds,scattered clouds,0.0,0.0,40,297.94,3554
2016-07-02 15:00:00,None,Clouds,scattered clouds,0.0,0.0,40,298.47,3487
2016-07-02 16:00:00,None,Clouds,scattered clouds,0.0,0.0,40,298.45,3261
2016-07-02 17:00:00,None,Clouds,broken clouds,0.0,0.0,75,299.04,3263
2016-07-02 18:00:00,None,Clouds,scattered clouds,0.0,0.0,40,298.64,3175
2016-07-02 19:00:00,None,Clouds,scattered clouds,0.0,0.0,40,298.21,2805
2016-07-02 20:00:00,None,Clouds,scattered clouds,0.0,0.0,40,296.99,2676
2016-07-02 21:00:00,None,Clouds,few clouds,0.0,0.0,20,294.45,2495
2016-07-02 22:00:00,None,Clouds,few clouds,0.0,0.0,20,292.09,2370
2016-07-02 23:00:00,None,Clouds,few clouds,0.0,0.0,20,291.03,2205
2016-07-03 00:00:00,None,Clear,sky is clear,0.0,0.0,1,290.15,1133
2016-07-03 01:00:00,None,Clear,sky is clear,0.0,0.0,1,289.45,929
2016-07-03 02:00:00,None,Clear,sky is clear,0.0,0.0,1,289.3,759
2016-07-03 03:00:00,None,Clear,sky is clear,0.0,0.0,1,289.14,436
2016-07-03 04:00:00,None,Clear,sky is clear,0.0,0.0,1,288.46,419
2016-07-03 05:00:00,None,Mist,mist,0.0,0.0,1,287.59,590
2016-07-03 06:00:00,None,Mist,mist,0.0,0.0,20,287.44,1095
2016-07-03 07:00:00,None,Mist,mist,0.0,0.0,40,289.23,1166
2016-07-03 08:00:00,None,Clouds,scattered clouds,0.0,0.0,40,291.48,1616
2016-07-03 09:00:00,None,Clouds,scattered clouds,0.0,0.0,40,293.62,2271
2016-07-03 10:00:00,None,Clouds,scattered clouds,0.0,0.0,40,295.28,2827
2016-07-03 11:00:00,None,Clouds,broken clouds,0.0,0.0,75,296.44,3166
2016-07-03 12:00:00,None,Clouds,broken clouds,0.0,0.0,75,297.09,3464
2016-07-03 13:00:00,None,Clouds,scattered clouds,0.0,0.0,40,297.97,3415
2016-07-03 14:00:00,None,Clouds,scattered clouds,0.0,0.0,40,298.81,3454
2016-07-03 15:00:00,None,Clouds,few clouds,0.0,0.0,20,299.28,3295
2016-07-03 16:00:00,None,Clouds,few clouds,0.0,0.0,20,299.32,3220
2016-07-03 17:00:00,None,Clouds,few clouds,0.0,0.0,20,299.4,3225
2016-07-03 18:00:00,None,Clouds,few clouds,0.0,0.0,20,299.07,3041
2016-07-03 19:00:00,None,Clouds,few clouds,0.0,0.0,20,298.07,2718
2016-07-03 20:00:00,None,Clear,sky is clear,0.0,0.0,1,297.13,2563
2016-07-03 21:00:00,None,Clear,sky is clear,0.0,0.0,1,295.04,2513
2016-07-03 22:00:00,None,Clouds,few clouds,0.0,0.0,20,292.98,2252
2016-07-03 23:00:00,None,Clouds,few clouds,0.0,0.0,20,291.46,1985
2016-07-04 00:00:00,Independence Day,Clear,sky is clear,0.0,0.0,1,289.95,1115
2016-07-04 01:00:00,None,Mist,mist,0.0,0.0,1,289.7,581
2016-07-04 02:00:00,None,Clear,sky is clear,0.0,0.0,1,288.95,436
2016-07-04 03:00:00,None,Clear,sky is clear,0.0,0.0,1,288.74,270
2016-07-04 04:00:00,None,Clear,sky is clear,0.0,0.0,1,288.54,304
